cycle_str,t_elapsed,unix_ts,n_synced,n_pending_demap,n_demapped,n_pending_ldpc,n_ldpcd,n_decoded,n_unique,ldpc_success_pc
251129_123300,14.089,1764419594.089,0,0,0,0,0,0,0,0.0
251129_123300,14.105,1764419594.105,0,0,0,0,0,0,0,0.0
251129_123300,14.117,1764419594.117,0,0,0,0,0,0,0,0.0
251129_123300,14.131,1764419594.131,0,0,0,0,0,0,0,0.0
251129_123300,14.143,1764419594.143,0,0,0,0,0,0,0,0.0
251129_123300,14.155,1764419594.155,0,0,0,0,0,0,0,0.0
251129_123300,14.167,1764419594.167,0,0,0,0,0,0,0,0.0
251129_123300,14.179,1764419594.179,0,0,0,0,0,0,0,0.0
251129_123300,14.191,1764419594.191,0,0,0,0,0,0,0,0.0
251129_123300,14.203,1764419594.203,0,0,0,0,0,0,0,0.0
251129_123300,14.215,1764419594.215,0,0,0,0,0,0,0,0.0
251129_123300,14.227,1764419594.227,0,0,0,0,0,0,0,0.0
251129_123300,14.238,1764419594.238,0,0,0,0,0,0,0,0.0
251129_123300,14.249,1764419594.249,0,0,0,0,0,0,0,0.0
251129_123300,14.261,1764419594.261,0,0,0,0,0,0,0,0.0
251129_123300,14.273,1764419594.273,0,0,0,0,0,0,0,0.0
251129_123300,14.284,1764419594.284,0,0,0,0,0,0,0,0.0
251129_123300,14.295,1764419594.295,0,0,0,0,0,0,0,0.0
251129_123300,14.306,1764419594.306,0,0,0,0,0,0,0,0.0
251129_123300,14.318,1764419594.318,0,0,0,0,0,0,0,0.0
251129_123300,14.33,1764419594.33,0,0,0,0,0,0,0,0.0
251129_123300,14.341,1764419594.341,0,0,0,0,0,0,0,0.0
251129_123300,14.352,1764419594.352,0,0,0,0,0,0,0,0.0
251129_123300,14.363,1764419594.363,0,0,0,0,0,0,0,0.0
251129_123300,14.375,1764419594.375,0,0,0,0,0,0,0,0.0
251129_123300,14.388,1764419594.388,0,0,0,0,0,0,0,0.0
251129_123300,14.4,1764419594.4,0,0,0,0,0,0,0,0.0
251129_123300,14.412,1764419594.412,0,0,0,0,0,0,0,0.0
251129_123300,14.424,1764419594.424,0,0,0,0,0,0,0,0.0
251129_123300,14.436,1764419594.436,0,0,0,0,0,0,0,0.0
251129_123300,14.447,1764419594.447,0,0,0,0,0,0,0,0.0
251129_123300,14.459,1764419594.459,0,0,0,0,0,0,0,0.0
251129_123300,14.471,1764419594.471,0,0,0,0,0,0,0,0.0
251129_123300,14.483,1764419594.483,0,0,0,0,0,0,0,0.0
251129_123300,14.495,1764419594.495,0,0,0,0,0,0,0,0.0
251129_123300,14.507,1764419594.507,0,0,0,0,0,0,0,0.0
251129_123300,14.519,1764419594.519,0,0,0,0,0,0,0,0.0
251129_123300,14.531,1764419594.531,0,0,0,0,0,0,0,0.0
251129_123300,14.543,1764419594.543,0,0,0,0,0,0,0,0.0
251129_123300,14.555,1764419594.555,0,0,0,0,0,0,0,0.0
251129_123300,14.567,1764419594.567,0,0,0,0,0,0,0,0.0
251129_123300,14.579,1764419594.579,0,0,0,0,0,0,0,0.0
251129_123300,14.591,1764419594.591,0,0,0,0,0,0,0,0.0
251129_123300,14.603,1764419594.603,0,0,0,0,0,0,0,0.0
251129_123300,14.614,1764419594.614,0,0,0,0,0,0,0,0.0
251129_123300,14.626,1764419594.626,0,0,0,0,0,0,0,0.0
251129_123300,14.637,1764419594.637,0,0,0,0,0,0,0,0.0
251129_123300,14.649,1764419594.649,0,0,0,0,0,0,0,0.0
251129_123300,14.661,1764419594.661,0,0,0,0,0,0,0,0.0
251129_123300,14.673,1764419594.673,0,0,0,0,0,0,0,0.0
251129_123300,14.685,1764419594.685,0,0,0,0,0,0,0,0.0
251129_123300,14.698,1764419594.698,0,0,0,0,0,0,0,0.0
251129_123300,14.71,1764419594.71,0,0,0,0,0,0,0,0.0
251129_123300,14.723,1764419594.723,0,0,0,0,0,0,0,0.0
251129_123300,14.735,1764419594.735,0,0,0,0,0,0,0,0.0
251129_123300,14.747,1764419594.747,0,0,0,0,0,0,0,0.0
251129_123300,14.759,1764419594.759,0,0,0,0,0,0,0,0.0
251129_123300,14.771,1764419594.771,0,0,0,0,0,0,0,0.0
251129_123300,14.783,1764419594.783,0,0,0,0,0,0,0,0.0
251129_123300,14.795,1764419594.795,0,0,0,0,0,0,0,0.0
251129_123300,14.807,1764419594.807,0,0,0,0,0,0,0,0.0
251129_123300,14.819,1764419594.819,0,0,0,0,0,0,0,0.0
251129_123300,14.831,1764419594.831,0,0,0,0,0,0,0,0.0
251129_123300,14.843,1764419594.843,0,0,0,0,0,0,0,0.0
251129_123300,14.855,1764419594.855,0,0,0,0,0,0,0,0.0
251129_123300,14.867,1764419594.867,0,0,0,0,0,0,0,0.0
251129_123300,14.888,1764419594.888,0,0,0,0,0,0,0,0.0
251129_123300,14.919,1764419594.919,0,0,0,0,0,0,0,0.0
251129_123300,14.932,1764419594.932,0,0,0,0,0,0,0,0.0
251129_123300,14.946,1764419594.946,0,0,0,0,0,0,0,0.0
251129_123300,14.959,1764419594.959,0,0,0,0,0,0,0,0.0
251129_123300,14.987,1764419594.987,0,0,0,0,0,0,0,0.0
251129_123300,15.0,1764419595.0,0,0,0,0,0,0,0,0.0
251129_123315,0.019,1764419595.019,0,0,0,0,0,0,0,0.0
251129_123315,0.033,1764419595.033,0,0,0,0,0,0,0,0.0
251129_123315,0.049,1764419595.049,0,0,0,0,0,0,0,0.0
251129_123315,0.064,1764419595.064,0,0,0,0,0,0,0,0.0
251129_123315,0.078,1764419595.078,0,0,0,0,0,0,0,0.0
251129_123315,0.09,1764419595.09,0,0,0,0,0,0,0,0.0
251129_123315,0.103,1764419595.103,0,0,0,0,0,0,0,0.0
251129_123315,0.116,1764419595.116,0,0,0,0,0,0,0,0.0
251129_123315,0.127,1764419595.127,0,0,0,0,0,0,0,0.0
251129_123315,0.14,1764419595.14,0,0,0,0,0,0,0,0.0
251129_123315,0.153,1764419595.153,0,0,0,0,0,0,0,0.0
251129_123315,0.198,1764419595.198,0,0,0,0,0,0,0,0.0
