timestamp   		id   decoded  score   llr_sd   snr   n_its   time_in_decode
251127_172245_12.1 638       0    2.68    2.57    16.0     0.0   0.001
251127_172245_12.1 843       0    2.62    2.18   -16.0     0.0   0.001
251127_172245_12.1 234       0    2.84    2.14    -9.0     0.0   0.001
251127_172245_12.1 639       0    2.76    2.33    16.0     0.0   0.003
251127_172245_12.2 708       0    3.13    1.86   -10.0     0.0   0.001
251127_172245_12.2 707       0    2.86    1.89   -10.0     0.0   0.003
251127_172245_12.2 1007       0    3.03    1.81   -16.0     0.0   0.005
251127_172245_12.3 233       0    2.60    1.77    -9.0     1.0   0.026
251127_172245_12.5 797       0    3.65    1.71   -15.0    24.0   0.455
251127_172245_12.5 754       1    3.72    3.35     2.0     0.0   0.001
251127_172245_12.6 753       0    4.40    3.68     2.0     0.0   0.003
251127_172245_12.6 841       0    2.54    2.15   -16.0     0.0   0.002
251127_172245_12.7 752       0    3.48    2.82     1.0     7.0   0.132
251127_172245_12.8 900       1    3.66    4.06     4.0     0.0   0.003
251127_172245_12.9 650       1   14.69    3.82    16.0     0.0   0.003
251127_172245_12.9 1062       1   13.00    3.50   -12.0     0.0   0.004
251127_172245_12.9 757       0    2.56    3.02     2.0     0.0   0.002
251127_172245_12.9 649       0   14.52    3.78    16.0     1.0   0.037
251127_172245_13.0 1063       0   10.56    3.03   -12.0     0.0   0.012
251127_172245_13.1 644       0    3.54    3.05    15.0     0.0   0.001
251127_172245_13.2 643       0    3.34    2.98    15.0     0.0   0.001
251127_172245_13.2 427       1    3.35    3.35    10.0     1.0   0.109
251127_172245_13.3 901       0    2.55    3.52     4.0     1.0   0.112
251127_172245_13.3 426       0    3.31    3.39     9.0     1.0   0.144
251127_172245_13.4 1061       0    9.76    2.91   -12.0     1.0   0.124
251127_172245_13.4 244       1    6.59    2.70    -9.0     2.0   0.109
251127_172245_13.5 647       0    3.55    2.69    15.0     0.0   0.018
251127_172245_13.6 1064       0    5.09    2.67   -12.0     0.0   0.014
251127_172245_13.6 719       0    8.86    2.64    -9.0     0.0   0.001
251127_172245_13.7 1060       0    3.84    2.44   -13.0     0.0   0.001
251127_172245_13.7 652       0    3.02    2.37    16.0     0.0   0.017
251127_172245_13.8 243       0    6.02    2.67    -9.0     3.0   0.255
251127_172245_13.8 740       0    2.94    2.34     1.0     0.0   0.001
251127_172245_13.9 739       0    2.62    2.34     1.0     0.0   0.001
251127_172245_13.9 720       0    7.38    2.29    -9.0     0.0   0.001
251127_172245_14.0 735       0    3.07    2.24     1.0     0.0   0.007
