cycle_str,t_elapsed,unix_ts,cand_id,decode_success,sync_score,snr,llr_sd,ldpc_iters
251129_124330,11.625,1764420221.625,24,0,2.3251070976257324,12,4.0649223,0
251129_124330,11.7,1764420221.7,89,0,2.6338725090026855,17,1.808796,0
251129_124330,11.701,1764420221.701,90,0,2.790987491607666,17,2.366698,0
251129_124330,11.789,1764420221.789,82,0,2.4469707012176514,-6,3.0786505,0
251129_124330,11.789,1764420221.789,81,0,2.5053327083587646,-6,3.2115858,0
251129_124330,11.842,1764420221.842,22,0,3.009307861328125,12,3.3336499,0
251129_124330,11.848,1764420221.848,21,0,2.5357861518859863,12,3.1614997,0
251129_124330,11.844,1764420221.844,23,0,2.5325396060943604,12,3.0927122,0
251129_124330,11.895,1764420221.895,230,0,3.320821762084961,-16,2.4523115,0
251129_124330,11.896,1764420221.896,229,0,2.796678304672241,-16,2.5615563,0
251129_124330,11.945,1764420221.945,76,0,2.302690267562866,-8,2.9016933,0
251129_124330,11.946,1764420221.946,75,0,2.3141086101531982,-8,2.7994561,0
251129_124330,12.117,1764420222.117,73,0,2.868319034576416,-8,1.8559551,0
251129_124330,12.114,1764420222.114,74,0,2.6137049198150635,-8,2.4155283,0
251129_124330,12.119,1764420222.119,72,0,2.4198076725006104,-8,2.0963044,0
251129_124330,12.293,1764420222.293,93,1,7.640821933746338,17,4.236723,0
251129_124330,12.391,1764420222.391,94,1,5.131556987762451,17,3.4677684,3
251129_124330,12.403,1764420222.403,92,1,7.348887920379639,17,4.218453,0
251129_124330,12.518,1764420222.518,14,0,2.3738980293273926,-1,1.774493,0
251129_124330,12.74,1764420222.74,91,0,4.2761759757995605,17,3.4580715,16
251129_124330,12.771,1764420222.771,52,1,3.6711461544036865,1,4.4034505,0
251129_124330,12.773,1764420222.773,184,1,7.869965076446533,-1,3.941966,0
251129_124330,12.776,1764420222.776,183,1,7.362943172454834,-1,3.7778919,0
251129_124330,12.773,1764420222.773,254,1,8.678638458251953,-6,3.909404,0
251129_124330,12.776,1764420222.776,51,1,2.791626214981079,2,3.852145,0
251129_124330,12.789,1764420222.789,237,1,11.587614059448242,-15,3.7346203,0
251129_124330,12.801,1764420222.801,253,1,7.772789001464844,-6,3.6329021,0
251129_124330,12.774,1764420222.774,27,1,12.026663780212402,12,4.2202826,0
251129_124330,12.803,1764420222.803,25,0,2.92376708984375,11,3.3599086,0
251129_124330,12.788,1764420222.788,28,1,11.175274848937988,12,4.2124963,0
251129_124330,12.799,1764420222.799,53,1,3.0473790168762207,1,4.0032578,1
251129_124330,12.837,1764420222.837,182,0,4.076237201690674,-1,3.2362652,0
251129_124330,12.821,1764420222.821,238,1,9.562873840332031,-15,3.35957,0
251129_124330,12.835,1764420222.835,154,0,2.3404548168182373,-4,3.2413275,0
251129_124330,12.862,1764420222.862,235,0,3.9201066493988037,-14,3.127066,0
251129_124330,12.978,1764420222.978,163,1,10.642139434814453,-5,3.0420349,1
251129_124330,12.978,1764420222.978,153,0,2.373732328414917,-4,2.68471,0
